City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
122,Tuatapere,NZ,-46.1333,167.6833,60.01,88,92,8.99,overcast clouds,2021-04-11 22:51:17
123,Husavik,IS,66.0449,-17.3389,33.8,80,75,4.61,broken clouds,2021-04-11 22:51:29
124,Satuk,TR,41.2263,32.3836,35.26,99,100,2.13,light snow,2021-04-11 22:52:24
125,Sao Jose,BR,-28.2333,-49.1667,75.0,69,12,3.33,few clouds,2021-04-11 22:52:25
126,Vao,NC,-22.6667,167.4833,76.08,77,57,5.5,broken clouds,2021-04-11 22:52:25
127,Sarai Mir,IN,26.0167,82.9167,77.47,11,48,7.27,scattered clouds,2021-04-11 22:52:26
128,Dongsheng,CN,39.8161,109.9776,35.13,92,100,20.33,snow,2021-04-11 22:50:42
129,De-Kastri,RU,51.4667,140.7833,33.73,58,100,3.87,overcast clouds,2021-04-11 22:52:26
130,Traverse City,US,44.7631,-85.6206,51.8,93,90,4.61,overcast clouds,2021-04-11 22:51:02
131,Chapais,CA,49.7834,-74.8492,55.4,35,1,11.5,clear sky,2021-04-11 22:52:27
132,Lagoa,PT,39.05,-27.9833,61.65,84,100,7.61,overcast clouds,2021-04-11 22:52:27
133,Srednekolymsk,RU,67.45,153.6833,-8.0,87,79,3.8,broken clouds,2021-04-11 22:52:27
134,Kundiawa,PG,-6.0167,144.9667,66.65,89,100,3.11,overcast clouds,2021-04-11 22:52:28
135,Port Hardy,CA,50.6996,-127.4199,46.4,49,20,18.41,few clouds,2021-04-11 22:52:28
136,Laguna,US,38.421,-121.4238,82.99,14,1,4.61,clear sky,2021-04-11 22:52:29
137,Aden,YE,12.7794,45.0367,80.67,79,3,19.95,clear sky,2021-04-11 22:49:16
138,Bambous Virieux,MU,-20.3428,57.7575,79.0,94,75,6.91,broken clouds,2021-04-11 22:52:29
139,Talnakh,RU,69.4865,88.3972,23.14,93,100,13.76,overcast clouds,2021-04-11 22:52:29
140,Vestmannaeyjar,IS,63.4427,-20.2734,41.65,86,100,17.92,overcast clouds,2021-04-11 22:51:05
141,Busselton,AU,-33.65,115.3333,61.0,99,99,19.55,overcast clouds,2021-04-11 22:52:30
142,Norman Wells,CA,65.282,-126.8329,6.8,40,1,10.36,clear sky,2021-04-11 22:52:30
143,Asau,RO,46.4333,26.4,42.01,44,1,3.42,light rain,2021-04-11 22:52:31
144,Simao,CN,22.7886,100.9748,60.1,93,28,2.57,scattered clouds,2021-04-11 22:52:31
145,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,83.93,36,55,3.85,broken clouds,2021-04-11 22:52:31
